Основне посилання,ID оголошення,Посилання на оголошення,Ціна,Місто,Дата і час публікації,Загальна площа
https://www.olx.ua/uk/nedvizhimost/kvartiry/,813828320,https://www.olx.ua/d/uk/obyavlenie/prodazha-1-no-k-kv-ul-doroshenko-hortitskiy-rayon-5-9-et-IDT4JWe.html,757 624 грн.,"Запоріжжя, Хортицький",17 січня 2024 р.,35
https://www.olx.ua/uk/nedvizhimost/kvartiry/,775502785,https://www.olx.ua/d/uk/obyavlenie/sdam-odnokomnatnuyu-kvartiru-IDQtWHr.html,"8 500 грн.
Договірна","Дніпро, Чечеловский",04 лютого 2024 р.,36
https://www.olx.ua/uk/nedvizhimost/kvartiry/,824447943,https://www.olx.ua/d/uk/obyavlenie/na-96-gagarina-d-25-s-remontom-mebel-tehnika-sobstvennik-srochno-IDTNizt.html,"1 382 626 грн.
Договірна","Кривий Ріг, Саксаганський",30 січня 2024 р.,48
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832929356,https://www.olx.ua/d/uk/obyavlenie/1-ka-gostnka-2-9-termnovo-IDUmSYs.html,530 337 грн.,"Кропивницький, Подільський",Сьогодні о 05:26,23
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832929114,https://www.olx.ua/d/uk/obyavlenie/bez-foto-sootv-3k-razd-3-16et-ul-solomenskaya-41-solomenskiy-r-n-IDUmSUy.html,3 030 117 грн.,"Київ, Солом'янський",Сьогодні о 03:55,66
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832929100,https://www.olx.ua/d/uk/obyavlenie/prodam-svoyu-kvartiru-studyu-vd-vlasnika-tsentr-novobudova-IDUmSUk.html,1 325 842 грн.,"Одеса, Приморський",Сьогодні о 04:27,26
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832929011,https://www.olx.ua/d/uk/obyavlenie/prodazh-veliko-trikmnatno-kvartiri-v-novobudov-blya-m-cherngvska-IDUmSST.html,4 166 932 грн.,"Київ, Дніпровський",Сьогодні о 03:39,95
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832924723,https://www.olx.ua/d/uk/obyavlenie/orenda-2-kmnatno-kvartiri-boyarka-IDUmRLJ.html,5 000 грн.,Рівне,Сьогодні о 05:15,53
https://www.olx.ua/uk/nedvizhimost/kvartiry/,804934372,https://www.olx.ua/d/uk/obyavlenie/kvartira-kristal-IDStqcs.html,2 500 грн.,Нікополь,Сьогодні о 03:43,30
https://www.olx.ua/uk/nedvizhimost/kvartiry/,831776978,https://www.olx.ua/d/uk/obyavlenie/sdam-shikarnuyu-dvuhkomnatnuyu-v-altair-2-ot-hozyaina-IDUi3bI.html,15 000 грн.,"Одеса, Київський",Сьогодні о 04:52,68
https://www.olx.ua/uk/nedvizhimost/kvartiry/,831666678,https://www.olx.ua/d/uk/obyavlenie/sdam-studiyu-deribasovskaya-smotrovaya-ploschadka-tsentr-IDUhAuG.html,4 900 грн.,"Одеса, Приморський",Сьогодні о 04:32,25
https://www.olx.ua/uk/nedvizhimost/kvartiry/,831068437,https://www.olx.ua/d/uk/obyavlenie/4-h-kmnatna-kvartira-IDUf4RD.html,2 227 415 грн.,"Житомир, Богунський",Сьогодні о 05:16,77
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832343213,https://www.olx.ua/d/uk/obyavlenie/prodam-3-nu-kvartiru-za-adresoyu-m-kramatorsk-vul-ya-mudrogo-59-IDUkqux.html,643 980 грн.,Краматорськ,Сьогодні о 03:41,62
https://www.olx.ua/uk/nedvizhimost/kvartiry/,743872970,https://www.olx.ua/d/uk/obyavlenie/trehkomnatnaya-kvartira-ot-hozyaina-IDOldl8.html,5 492 774 грн.,"Одеса, Київський",03 лютого 2024 р.,93
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832216662,https://www.olx.ua/d/uk/obyavlenie/prodam-kvartiru-rayon-vokzalu-garna-nfrastruktura-IDUjTzo.html,1 666 773 грн.,"Житомир, Польова",30 січня 2024 р.,61.80
https://www.olx.ua/uk/nedvizhimost/kvartiry/,814692256,https://www.olx.ua/d/uk/obyavlenie/2-h-km-kvartira-lsoviy-masiv-vul-mlyutenka-23-IDT8mFG.html,1 666 773 грн.,"Київ, Деснянський",03 лютого 2024 р.,50.18
https://www.olx.ua/uk/nedvizhimost/kvartiry/,522260584,https://www.olx.ua/d/uk/obyavlenie/2k-kvartira-78kv-m-novostroy-IDzllPO.html,1 098 555 грн.,Чорноморськ,Сьогодні о 03:34,78
https://www.olx.ua/uk/nedvizhimost/kvartiry/,821419427,https://www.olx.ua/d/uk/obyavlenie/zdam-2-kmnatnu-kvartiru-vul-ak-barabashova-32-m-akademka-pavlova-IDTAAIr.html,6 000 грн.,"Харків, Київський",Сьогодні о 05:12,87
https://www.olx.ua/uk/nedvizhimost/kvartiry/,820848946,https://www.olx.ua/d/uk/obyavlenie/prodazh-2-kmnatno-kvartiri-IDTycj8.html,1 704 654 грн.,Ужгород,Сьогодні о 04:49,49
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832539837,https://www.olx.ua/d/uk/obyavlenie/prodatsya-73-kv-m-kvartira-v-zhk-white-lines-vd-hozyana-IDUlfDT.html,5 985 230 грн.,"Київ, Голосіївський",Сьогодні о 05:20,73
https://www.olx.ua/uk/nedvizhimost/kvartiry/,748873737,https://www.olx.ua/d/uk/obyavlenie/vlasnik-kvartira-IDOGcgF.html,16 000 грн.,"Львів, Сихівський",Сьогодні о 04:36,39
https://www.olx.ua/uk/nedvizhimost/kvartiry/,794579124,https://www.olx.ua/d/uk/obyavlenie/prodatsya-3-kmnatna-kvartira-u-m-striy-po-vul-vigovskogo-IDRLYkk.html,1 060 674 грн.,Стрий,Сьогодні о 03:44,54.60
https://www.olx.ua/uk/nedvizhimost/kvartiry/,817788729,https://www.olx.ua/d/uk/obyavlenie/tsena-snizhena-1-komn-kvartira-remont-zhemchuzhina-tairova-vid-na-more-IDTlmcN.html,1 628 892 грн.,Лиманка,Сьогодні о 05:24,42.70
https://www.olx.ua/uk/nedvizhimost/kvartiry/,828475170,https://www.olx.ua/d/uk/obyavlenie/zhk-dream-city-orenda-novobudova-goydi-IDU4ceK.html,"20 835 грн.
Договірна",Ужгород,Сьогодні о 03:55,42
https://www.olx.ua/uk/nedvizhimost/kvartiry/,758036576,https://www.olx.ua/d/uk/obyavlenie/prodam-4-k-kvartiru-na-charvny-IDPiDVo.html,2 613 803 грн.,"Запоріжжя, Шевченківський",Сьогодні о 05:19,131.54
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832002580,https://www.olx.ua/d/uk/obyavlenie/prodazh-3-k-kv-lviy-bereg-IDUiZSs.html,1 117 495 грн.,Кам'янське,Сьогодні о 05:24,64
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832483563,https://www.olx.ua/d/uk/obyavlenie/prodam-3-k-kvartiru-155m2-z-novim-remontom-v-novopecherskih-lpkah-IDUl10f.html,26 475 171 грн.,"Київ, Печерський",03 лютого 2024 р.,155
https://www.olx.ua/uk/nedvizhimost/kvartiry/,783245932,https://www.olx.ua/d/uk/obyavlenie/budinki-z-avtonomnim-opalennyam-kvartira-3h-kmnatna-85-5m2-IDR0q2U.html,3 281 000 грн.,Софіївська Борщагівка,03 лютого 2024 р.,85
https://www.olx.ua/uk/nedvizhimost/kvartiry/,831090716,https://www.olx.ua/d/uk/obyavlenie/orenda-3k-kvartiri-vul-buslovska-pechersk-zhk-busov-hill-IDUfaEY.html,98 491 грн.,"Київ, Печерський",03 лютого 2024 р.,103
https://www.olx.ua/uk/nedvizhimost/kvartiry/,728415223,https://www.olx.ua/d/uk/obyavlenie/prodam-1-komnatnuyu-kvartiru-irpen-sobstvennik-IDNim4D.html,833 386 грн.,Ірпінь,Сьогодні о 03:52,40
https://www.olx.ua/uk/nedvizhimost/kvartiry/,822204358,https://www.olx.ua/d/uk/obyavlenie/prodazh-1-km-kvartiri-41-m2-5-pov-zdacha-1-kv-2025-r-bryuhovich-IDTDSUC.html,1 458 388 грн.,Брюховичі,Сьогодні о 05:12,41
https://www.olx.ua/uk/nedvizhimost/kvartiry/,829312330,https://www.olx.ua/d/uk/obyavlenie/2-h-kmnatna-kvartira-v-zhk-domashny-z-remontom-komora-vlasnik-IDU7I1k.html,"3 485 070 грн.
Договірна","Житомир, Крошня",Сьогодні о 04:28,69.30
https://www.olx.ua/uk/nedvizhimost/kvartiry/,800414503,https://www.olx.ua/d/uk/obyavlenie/1-kmnatna-na-schaslivomu-z-novim-remontom-seredny-5-poverh-IDSasnl.html,2 367 575 грн.,Рівне,Сьогодні о 04:13,46
https://www.olx.ua/uk/nedvizhimost/kvartiry/,800414614,https://www.olx.ua/d/uk/obyavlenie/1-kmnatna-na-schaslivomu-z-novim-remontom-ukomplektovana-IDSasp8.html,2 234 953 грн.,Рівне,Сьогодні о 04:29,51
https://www.olx.ua/uk/nedvizhimost/kvartiry/,690302770,https://www.olx.ua/d/uk/obyavlenie/prodazh-bez-koms-vidova-kvartira-vishgorod-obolon-IDKIrhE.html,"1 984 975 грн.
Договірна",Вишгород,Сьогодні о 03:48,50
https://www.olx.ua/uk/nedvizhimost/kvartiry/,800239937,https://www.olx.ua/d/uk/obyavlenie/prodazh-3-kmnatno-v-tsentr-IDS9IXL.html,3 788 120 грн.,Ужгород,Сьогодні о 04:49,76
https://www.olx.ua/uk/nedvizhimost/kvartiry/,803790451,https://www.olx.ua/d/uk/obyavlenie/orenda-1-5-kmnatno-v-novobudov-zhk-residents-park-IDSoCC7.html,"34 093 грн.
Договірна",Ужгород,Сьогодні о 03:54,80
https://www.olx.ua/uk/nedvizhimost/kvartiry/,811095939,https://www.olx.ua/d/uk/obyavlenie/prodam-2h-komnatnuyu-kvartiru-s-uchastkom-irpen-sobstvennik-IDSTh6z.html,2 291 813 грн.,Ірпінь,Сьогодні о 03:48,46
https://www.olx.ua/uk/nedvizhimost/kvartiry/,768787858,https://www.olx.ua/d/uk/obyavlenie/kvartira-38kv-m-prodazha-obmen-na-dom-nedostroy-IDQ1KQa.html,1 136 436 грн.,"Харків, Немишлянський",Сьогодні о 05:18,38
https://www.olx.ua/uk/nedvizhimost/kvartiry/,820411132,https://www.olx.ua/d/uk/obyavlenie/srochnaya-prodazha-2-k-kvartiry-v-novom-zhilom-komplekse-st-alekseevka-IDTvmpC.html,"719 743 грн.
Договірна","Харків, Шевченківський",04 лютого 2024 р.,47
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832568356,https://www.olx.ua/d/uk/obyavlenie/prodazh-2-kmnatno-kvartiri-novobudova-IDUln3S.html,2 003 915 грн.,Рівне,02 лютого 2024 р.,66.39
https://www.olx.ua/uk/nedvizhimost/kvartiry/,827841824,https://www.olx.ua/d/uk/obyavlenie/bez-prodazh-1-kvartiri-na-troeschine-pr-t-chervonoy-kaliny-5-IDU1xtu.html,1 439 448 грн.,"Київ, Деснянський",04 лютого 2024 р.,35
https://www.olx.ua/uk/nedvizhimost/kvartiry/,807121226,https://www.olx.ua/d/uk/obyavlenie/prodam-2-k-kvartiru-u-tsentr-msta-IDSCB6i.html,"795 467 грн.
Договірна","Запоріжжя, Вознесенівський",Сьогодні о 05:19,41.47
https://www.olx.ua/uk/nedvizhimost/kvartiry/,827770677,https://www.olx.ua/d/uk/obyavlenie/zdatsya-v-orendu-1k-k-ra-44m2-varshavskiy-varshavskiy-bud-13-9-IDU1eXX.html,18 000 грн.,"Київ, Подільський",Сьогодні о 05:07,44
https://www.olx.ua/uk/nedvizhimost/kvartiry/,827985451,https://www.olx.ua/d/uk/obyavlenie/prodamo-3-kmnatn-2-rvnevu-kvartiru-88m2-vlasnik-zhk-oksamitoviy-IDU28Q3.html,"4 129 051 грн.
Договірна",Софіївська Борщагівка,Сьогодні о 03:24,88
https://www.olx.ua/uk/nedvizhimost/kvartiry/,831068154,https://www.olx.ua/d/uk/obyavlenie/1-kmnatna-kvartira-IDUf4N4.html,1 090 979 грн.,Шевченка,Сьогодні о 04:56,27.40
https://www.olx.ua/uk/nedvizhimost/kvartiry/,822198065,https://www.olx.ua/d/uk/obyavlenie/prodazh-1-km-kvartiri-41-m2-zdacha-4-kvartal-2024-rk-bryuhovich-IDTDRh7.html,1 396 263 грн.,Брюховичі,Сьогодні о 05:04,41
https://www.olx.ua/uk/nedvizhimost/kvartiry/,827131398,https://www.olx.ua/d/uk/obyavlenie/orenda-1-kmnatno-kvartiri-blya-m-demvska-IDTYyF0.html,14 000 грн.,"Київ, Голосіївський",Сьогодні о 05:12,34.30
https://www.olx.ua/uk/nedvizhimost/kvartiry/,816939137,https://www.olx.ua/d/uk/obyavlenie/prodazh-trikmnatno-kvartiri-IDThNbH.html,2 462 278 грн.,Ужгород,Сьогодні о 04:49,78
https://www.olx.ua/uk/nedvizhimost/kvartiry/,816936473,https://www.olx.ua/d/uk/obyavlenie/prodatsya-chudova-dvorvneva-kvartira-v-novomu-rayon-IDThMuJ.html,4 432 100 грн.,Ужгород,Сьогодні о 04:50,117
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832409164,https://www.olx.ua/d/uk/obyavlenie/2-komn-75-kv-m-s-terrasoy-klubnyy-dom-IDUkHEg.html,2 140 288 грн.,Бориспіль,Сьогодні о 04:40,75
https://www.olx.ua/uk/nedvizhimost/kvartiry/,394140970,https://www.olx.ua/d/uk/obyavlenie/sdayu-svoyu-kvartira-v-tsentre-v-rayone-sobornoy-IDqFM4q.html,28 583 грн.,"Миколаїв, Центральний",Сьогодні о 05:28,60
